year,show,ethnicity,actors,theater,type,non-profit
2008-2009,"You're Welcome, America",African American,2,,Play,
2008-2009,"You're Welcome, America",Asian American,0,,Play,
2008-2009,"You're Welcome, America",Caucasian,4,,Play,
2008-2009,"You're Welcome, America",Latino,0,,Play,
2008-2009,"You're Welcome, America",Other,0,,Play,
2008-2009,[title of show],African American,0,,Musical,
2008-2009,[title of show],Asian American,0,,Musical,
2008-2009,[title of show],Caucasian,6,,Musical,
2008-2009,[title of show],Latino,0,,Musical,
2008-2009,[title of show],Other,0,,Musical,
2008-2009,reasons to be pretty,African American,0,,Play,
2008-2009,reasons to be pretty,Asian American,0,,Play,
2008-2009,reasons to be pretty,Caucasian,6,,Play,
2008-2009,reasons to be pretty,Latino,0,,Play,
2008-2009,reasons to be pretty,Other,0,,Play,
2009-2010,*Burn the Floor,African American,0,,Musical,
2009-2010,*Burn the Floor,Asian American,0,,Musical,
2009-2010,*Burn the Floor,Caucasian,20,,Musical,
2009-2010,*Burn the Floor,Latino,2,,Musical,
2009-2010,*Burn the Floor,Other,0,,Musical,
2009-2010,*Come Fly Away,African American,2,,Musical,
2009-2010,*Come Fly Away,Asian American,1,,Musical,
2009-2010,*Come Fly Away,Caucasian,23,,Musical,
2009-2010,*Come Fly Away,Latino,1,,Musical,
2009-2010,*Come Fly Away,Other,0,,Musical,
2009-2010,A Behanding in Spokane,African American,2,,Play,
2009-2010,A Behanding in Spokane,Asian American,0,,Play,
2009-2010,A Behanding in Spokane,Caucasian,6,,Play,
2009-2010,A Behanding in Spokane,Latino,0,,Play,
2009-2010,A Behanding in Spokane,Other,0,,Play,
2009-2010,A Little Night Music,African American,0,,Musical,
2009-2010,A Little Night Music,Asian American,0,,Musical,
2009-2010,A Little Night Music,Caucasian,19,,Musical,
2009-2010,A Little Night Music,Latino,0,,Musical,
2009-2010,A Little Night Music,Other,0,,Musical,
2009-2010,A Steady Rain,African American,0,,Play,
2009-2010,A Steady Rain,Asian American,0,,Play,
2009-2010,A Steady Rain,Caucasian,4,,Play,
2009-2010,A Steady Rain,Latino,0,,Play,
2009-2010,A Steady Rain,Other,0,,Play,
2009-2010,Addams Family,African American,0,,Musical,
2009-2010,Addams Family,Asian American,0,,Musical,
2009-2010,Addams Family,Caucasian,23,,Musical,
2009-2010,Addams Family,Latino,3,,Musical,
2009-2010,Addams Family,Other,0,,Musical,
2009-2010,After Miss Julie,African American,0,,Play,
2009-2010,After Miss Julie,Asian American,0,,Play,
2009-2010,After Miss Julie,Caucasian,5,,Play,
2009-2010,After Miss Julie,Latino,0,,Play,
2009-2010,After Miss Julie,Other,0,,Play,
2009-2010,All About Me,African American,1,,Musical,
2009-2010,All About Me,Asian American,0,,Musical,
2009-2010,All About Me,Caucasian,4,,Musical,
2009-2010,All About Me,Latino,1,,Musical,
2009-2010,All About Me,Other,0,,Musical,
2009-2010,American Idiot,African American,3,,Musical,
2009-2010,American Idiot,Asian American,0,,Musical,
2009-2010,American Idiot,Caucasian,19,,Musical,
2009-2010,American Idiot,Latino,2,,Musical,
2009-2010,American Idiot,Other,0,,Musical,
2009-2010,Bye Bye Birdie,African American,2,,Musical,
2009-2010,Bye Bye Birdie,Asian American,0,,Musical,
