time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T08:46:49.710Z,33.4936667,-116.7976667,4.26,1.46,ml,55,34,0.08753,0.2,ci,ci38006872,2017-09-20T13:50:34.530Z,"8km NE of Aguanga, CA",earthquake,0.18,0.52,0.118,26,reviewed,ci,ci
2017-09-20T08:36:39.762Z,62.9275,-151.3201,111.1,2.3,ml,,,,0.46,ak,ak16867139,2017-09-20T08:49:43.823Z,"91km NW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-09-20T08:34:54.300Z,37.5714989,-118.8416672,0.66,1.56,md,16,136,0.02102,0.06,nc,nc72895641,2017-09-20T11:05:02.892Z,"14km SE of Mammoth Lakes, California",earthquake,0.31,0.71,0.12,15,automatic,nc,nc
2017-09-20T08:26:25.980Z,36.0966667,-117.7721667,8.06,0.8,ml,9,113,0.07014,0.15,ci,ci38006856,2017-09-20T13:49:01.894Z,"17km ENE of Coso Junction, CA",earthquake,0.37,0.78,0.36,6,reviewed,ci,ci
2017-09-20T08:15:24.270Z,19.3875008,-155.2788391,2.72,2.55,ml,48,43,0.002881,0.2,hv,hv61914791,2017-09-20T08:21:11.600Z,"6km SW of Volcano, Hawaii",earthquake,0.19,0.23,0.35,26,automatic,hv,hv
2017-09-20T07:58:05.410Z,33.144,-116.504,9.34,0.86,ml,39,61,0.1006,0.21,ci,ci38006840,2017-09-20T13:49:23.376Z,"12km NE of Julian, CA",earthquake,0.37,0.8,0.177,20,reviewed,ci,ci
2017-09-20T07:45:05.060Z,35.6083336,-120.7354965,7.91,1.87,md,19,91,0.1129,0.07,nc,nc72895626,2017-09-20T09:16:02.621Z,"4km WSW of Paso Robles, California",earthquake,0.33,4.23,0.37,12,automatic,nc,nc
2017-09-20T07:44:37.630Z,38.836834,-122.7843323,0.93,0.56,md,9,105,0.004951,0.02,nc,nc72895636,2017-09-20T10:13:02.768Z,"5km WNW of Cobb, California",earthquake,0.36,1.01,,1,automatic,nc,nc
2017-09-20T07:44:15.340Z,38.8380013,-122.7839966,1.13,0.48,md,13,112,0.007505,0.03,nc,nc72895631,2017-09-20T09:44:02.695Z,"5km WNW of Cobb, California",earthquake,0.28,0.49,0.07,4,automatic,nc,nc
2017-09-20T07:38:11.026Z,62.4473,-151.2083,83.2,1.3,ml,,,,0.38,ak,ak16866448,2017-09-20T07:44:23.029Z,"58km WNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-09-20T07:37:18.610Z,36.027,-117.7646667,1.93,1.12,ml,20,63,0.00185,0.13,ci,ci38006824,2017-09-20T14:15:55.082Z,"16km NE of Little Lake, CA",earthquake,0.15,0.15,0.246,13,reviewed,ci,ci
2017-09-20T07:25:20.450Z,59.9806,-147.2807,26.5,1.5,ml,,,,0.52,ak,ak16866421,2017-09-20T07:32:30.754Z,"80km NW of Middleton Island, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-09-20T07:18:04.250Z,19.491333,-155.8781738,10.85,1.92,md,35,88,0.03705,0.25,hv,hv61914776,2017-09-20T07:21:14.900Z,"4km E of Captain Cook, Hawaii",earthquake,0.61,0.53,0.17,11,automatic,hv,hv
2017-09-20T07:12:04.918Z,59.7978,-136.5661,0,1.5,ml,,,,1.01,ak,ak16866395,2017-09-20T07:19:18.518Z,"80km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T06:51:45.104Z,63.9544,-148.7094,103,1.7,ml,,,,0.66,ak,ak16865784,2017-09-20T06:56:34.833Z,"16km NE of Healy, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-09-20T06:48:28.340Z,44.7876667,-111.0366667,6.45,0.77,md,10,169,0.03571,0.1,uu,uu60248097,2017-09-20T15:14:52.470Z,"14km NNE of West Yellowstone, Montana",earthquake,0.61,0.78,0.336,8,reviewed,uu,uu
2017-09-20T06:37:55.820Z,33.5035,-116.7925,5.4,0.36,ml,18,74,0.07705,0.12,ci,ci38006808,2017-09-20T13:49:21.639Z,"10km NE of Aguanga, CA",earthquake,0.26,0.94,0.149,13,reviewed,ci,ci
2017-09-20T06:02:19.310Z,35.56,-96.7528,6.78,2.7,mb_lg,,46,0.251,0.25,us,us2000arhc,2017-09-20T15:09:27.824Z,"10km NW of Prague, Oklahoma",earthquake,1.5,3.3,0.059,74,reviewed,us,us
2017-09-20T05:43:16.039Z,68.8162,-142.9601,0,2.4,ml,,,,0.57,ak,ak16865084,2017-09-20T05:53:04.983Z,"130km NE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T05:42:09.204Z,65.3765,-144.9588,0,1.2,ml,,,,0.71,ak,ak16865080,2017-09-20T05:50:24.313Z,"16km SW of Circle Hot Springs Station, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T05:37:00.371Z,57.8056,-155.5245,98.9,1.9,ml,,,,0.2,ak,ak16865073,2017-09-20T05:42:32.199Z,"96km WNW of Larsen Bay, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-09-20T05:29:31.658Z,63.2419,-148.9582,3.5,0.9,ml,,,,0.5,ak,ak16865048,2017-09-20T05:33:40.223Z,"16km S of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-09-20T05:26:08.970Z,-16.2747,-71.3157,92.59,5.3,mww,,117,2.19,1.32,us,us2000arh1,2017-09-20T14:03:32.731Z,"27km ENE of Arequipa, Peru",earthquake,7.5,5.7,0.068,21,reviewed,us,us
2017-09-20T05:16:01.830Z,44.304,148.9933,47.06,4.8,mb,,135,4.605,0.85,us,us2000arha,2017-09-20T06:21:49.040Z,"135km SE of Kuril'sk, Russia",earthquake,9.6,7,0.049,128,reviewed,us,us
2017-09-20T05:13:32.880Z,33.498,-116.7926667,4.59,0.14,ml,12,108,0.08159,0.07,ci,ci38006784,2017-09-20T13:49:40.400Z,"9km NE of Aguanga, CA",earthquake,0.22,0.32,0.095,5,reviewed,ci,ci
2017-09-20T04:32:49.035Z,61.7799,-150.3931,50.7,1.3,ml,,,,0.57,ak,ak16864392,2017-09-20T04:38:51.947Z,"19km W of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-09-20T04:09:26.529Z,59.9377,-139.6769,0,1.6,ml,,,,0.78,ak,ak16864345,2017-09-20T04:17:28.315Z,"43km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
